event0  attr1,event0  attr2,probability
0,-4,0.0
0,-3,0.0
0,-2,0.0
0,-1,0.0
0,0,0.0
0,1,0.0
0,2,0.001663893510815716
0,3,0.048252911813643294
0,4,0.028286189683860066
0,5,0.01663893510815317
0,6,0.02163061564059895
0,7,0.014975041597337892
0,8,0.01331114808652261
0,9,0.013311148086522616
0,10,0.004991680532446264
0,11,0.013311148086522616
0,12,0.009983361064892098
0,13,0.011647254575707346
0,14,0.014975041597337892
0,15,0.014975041597337892
0,16,0.018302828618968415
0,17,0.011647254575707346
0,18,0.04326123128119746
0,19,0.013311148086522616
0,20,0.019966722129783683
0,21,0.024958402662229526
0,22,0.014975041597337901
0,23,0.011647254575707346
0,24,0.031613976705490585
0,25,0.023294509151414237
0,26,0.0
0,27,0.028286189683860045
0,28,0.006655574043261536
0,29,0.056572379367719604
0,30,0.0
0,31,0.03993344425956692
0,32,0.03660565723793641
0,33,0.014975041597337892
0,34,0.02163061564059895
0,35,0.04658901830282804
0,36,0.039933444259566936
0,37,0.03161397670549057
0,38,0.023294509151414237
0,39,0.008319467554076804
0,40,0.016638935108153164
0,41,0.0033277870216309913
0,42,0.01663893510815317
0,43,0.006655574043261536
0,44,0.02662229617304481
0,45,0.04658901830282803
0,46,0.03993344425956692
0,47,0.013311148086522616
0,48,0.02828618968386008
0,49,0.006655574043261536
1,-4,0.0
1,-3,0.0
1,-2,0.0
1,-1,0.0
1,0,0.003742981908921135
1,1,0.8365564566437744
1,2,0.004158868787690104
1,3,0.008525681014764237
1,4,0.005614472863381494
1,5,0.0022873778332297536
1,6,0.0014556040756918238
1,7,0.004990642545228036
1,8,0.0010397171969228588
1,9,0.0029112081513832083
1,10,0.004990642545228039
1,11,0.005822416302765962
1,12,0.0004158868787694095
1,13,0.007278020378457345
1,14,0.0033270950301521685
1,15,0.0037429819089211365
1,16,0.00831773757537975
1,17,0.002495321272614235
1,18,0.0008317737575383766
1,19,0.0027032647119987242
1,20,0.004574755666459071
1,21,0.0035350384695366564
1,22,0.0035350384695366564
1,23,0.004990642545228036
1,24,0.0014556040756918238
1,25,0.0004158868787694094
1,26,0.0033270950301521685
1,27,0.0054065294239969905
1,28,0.0029112081513832083
1,29,0.006238303181534928
1,30,0.0016635475150763056
1,31,0.0
1,32,0.0027032647119987242
1,33,0.006446246620919415
1,34,0.004158868787690104
1,35,0.0014556040756918238
1,36,0.0051985859846125125
1,37,0.004366812227074584
1,38,0.0054065294239969905
1,39,0.0033270950301521685
1,40,0.003950925348305612
1,41,0.0031191515907676858
1,42,0.000623830318153893
1,43,0.0035350384695366542
1,44,0.0
1,45,0.0016635475150763054
1,46,0.0016635475150763054
1,47,0.0
1,48,0.001455604075691825
1,49,0.0016635475150763056
2,-4,0.0
2,-3,0.0
2,-2,0.0
